category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Building,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,356ee35811299b3e.jpg,OpenImages,"[[1, 0, 761, 1022]]",Others,Japan,768,1024,annotator284,356ee35811299b3e_Building_0
Cosmetics,"[0, 1, 1, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,b79453af8f7830a3.jpg,OpenImages,"[[0, 99, 219, 379], [0, 488, 140, 279], [473, 1, 353, 427]]",Cosmetics,Japan,1024,768,annotator284,b79453af8f7830a3_Cosmetics_1-2-3
Cosmetics,"[0, 1, 1, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,ce714eef200f390f.jpg,OpenImages,"[[378, 112, 197, 691]]",Cosmetics,Japan,972,1024,annotator284,ce714eef200f390f_Cosmetics_0
Human body,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,b79453af8f7830a3.jpg,OpenImages,"[[0, 0, 1024, 768]]",Person,Japan,1024,768,annotator284,b79453af8f7830a3_Human body_0
Object 0,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,334813.jpg,LVIS,"[[71, 117, 155, 154]]",Others,Japan,480,640,annotator284,334813_Object 0_4
Porch,"[0, 0, 1, 1, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,24c7ebbfb72cfd8b.jpg,OpenImages,"[[6, 534, 758, 486]]",Others,Japan,768,1024,annotator284,24c7ebbfb72cfd8b_Porch_2
backpack,"[0, 0, 1, 0, 0, 0]",3,"[0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,190236.jpg,LVIS,"[[192, 314, 108, 79]]",Others,Japan,640,393,annotator284,190236_backpack_0
bed,"[0, 0, 0, 0, 1, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,410033.jpg,LVIS,"[[0, 0, 251, 221]]",Home interior,Japan,640,480,annotator284,410033_bed_3
desk,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,334813.jpg,LVIS,"[[200, 313, 87, 24], [0, 358, 480, 281]]",Table,Japan,480,640,annotator284,334813_desk_6-7
earphone,"[0, 0, 1, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,410033.jpg,LVIS,"[[11, 298, 134, 113]]",Electronic Devices,Japan,640,480,annotator284,410033_earphone_1
guitar,"[0, 0, 1, 1, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,410033.jpg,LVIS,"[[410, 0, 229, 480]]",Musical instrument,Japan,640,480,annotator284,410033_guitar_4
headboard,"[0, 1, 1, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,410033.jpg,LVIS,"[[0, 0, 199, 95]]",Others,Japan,640,480,annotator284,410033_headboard_2
lamp,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,334813.jpg,LVIS,"[[296, 297, 104, 197]]",Others,Japan,480,640,annotator284,334813_lamp_5
laptop_computer,"[0, 0, 1, 0, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,410033.jpg,LVIS,"[[212, 96, 320, 288]]",Screen,Japan,640,480,annotator284,410033_laptop_computer_0
laptop_computer,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,334813.jpg,LVIS,"[[218, 293, 174, 140], [179, 338, 91, 42]]",Screen,Japan,480,640,annotator284,334813_laptop_computer_2-3
monitor_(computer_equipment) computer_monitor,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,6,334813.jpg,LVIS,"[[308, 294, 82, 126], [390, 175, 87, 177]]",Screen,Japan,480,640,annotator284,334813_monitor_(computer_equipment) computer_monitor_0-1
