category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId
Car,"[0, 0, 0, 0, 0, 1]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,0197df7725980004.jpg,OpenImages,"[[150, 143, 751, 461]]",Others,UK,1024,681,annotator577,0197df7725980004_Car_0
House,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,cf98919686aa9981.jpg,OpenImages,"[[435, 548, 446, 219]]",Others,UK,1024,768,annotator577,cf98919686aa9981_House_8
Human body,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,6dc9c50218de115b.jpg,OpenImages,"[[0, 295, 326, 340], [364, 227, 196, 249], [825, 328, 176, 182], [867, 340, 139, 168], [968, 379, 56, 184]]",Person,UK,1024,768,annotator577,6dc9c50218de115b_Human body_7-8-9-10-11
Human head,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,6dc9c50218de115b.jpg,OpenImages,"[[110, 319, 126, 147], [454, 227, 49, 60], [892, 339, 84, 76]]",Person,UK,1024,768,annotator577,6dc9c50218de115b_Human head_12-13-14
Object 0,"[0, 0, 1, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,215778.jpg,LVIS,"[[167, 28, 241, 179]]",Others,UK,640,427,annotator577,215778_Object 0_10
Object 0,"[0, 0, 1, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,383703.jpg,LVIS,"[[255, 26, 139, 197]]",Others,UK,425,640,annotator577,383703_Object 0_0
Object 0,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,111609.jpg,LVIS,"[[339, 82, 129, 149]]",Others,UK,640,429,annotator577,111609_Object 0_0
Object 1,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,383703.jpg,LVIS,"[[306, 68, 73, 63]]",Others,UK,425,640,annotator577,383703_Object 1_1
Person,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,0197df7725980004.jpg,OpenImages,"[[203, 19, 820, 271]]",Others,UK,1024,681,annotator577,0197df7725980004_Person_1
Person,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,6dc9c50218de115b.jpg,OpenImages,"[[0, 319, 307, 313], [364, 227, 196, 251], [852, 336, 144, 182]]",Others,UK,1024,768,annotator577,6dc9c50218de115b_Person_0-1-2
Vehicle registration plate,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,0d530b6b0079b5ec.jpg,OpenImages,"[[0, 345, 29, 18], [900, 292, 49, 38]]",Vehicle Plate,UK,1024,576,annotator577,0d530b6b0079b5ec_Vehicle registration plate_2-3
Woman,"[0, 0, 1, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,0197df7725980004.jpg,OpenImages,"[[203, 21, 85, 222], [266, 19, 96, 227], [951, 122, 72, 170]]",Person,UK,1024,681,annotator577,0197df7725980004_Woman_16-17-18
identity,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,0c019fae176b1556.jpg,OpenImages,"[[50, 0, 269, 236]]",Others,UK,240,320,annotator577,0c019fae176b1556_identity_0
identity_card,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,215778.jpg,LVIS,"[[55, 172, 91, 31]]",Others,UK,640,427,annotator577,215778_identity_card_9
laptop_computer,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,215778.jpg,LVIS,"[[135, 32, 411, 363]]",Screen,UK,640,427,annotator577,215778_laptop_computer_0
license_plate,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,17627.jpg,LVIS,"[[288, 267, 23, 6], [498, 252, 18, 5], [427, 267, 16, 4], [191, 262, 21, 7], [612, 257, 15, 3]]",Vehicle Plate,UK,640,480,annotator577,17627_license_plate_3-4-5-6-7
monitor_(computer_equipment) computer_monitor,"[0, 0, 1, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",34,Female,0,Prolific,3,5,6,9,9,191136.jpg,LVIS,"[[287, 32, 208, 222], [100, 59, 152, 105]]",Screen,UK,500,375,annotator577,191136_monitor_(computer_equipment) computer_monitor_1-2
