category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
0,"[1, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",31,0,1,0,4,4,5,8,10,1b0366e125f4e3db.jpg,1,"[[366, 74, 134, 268]]",Person,0,1024,591,annotator448,1b0366e125f4e3db_Human face_0,1b0366e125f4e3db_Human face_0_annotator448
4,"[0, 0, 1, 1, 1, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",31,0,1,0,4,4,5,8,10,1076753c4c6ddb22.jpg,1,"[[613, 117, 404, 650]]",Person,0,1024,772,annotator448,1076753c4c6ddb22_Man_10,1076753c4c6ddb22_Man_10_annotator448
5,"[1, 1, 0, 0, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",31,0,1,0,4,4,5,8,10,160201.jpg,0,"[[231, 75, 120, 87]]",Others,0,500,375,annotator448,160201_Manual Label_0,160201_Manual Label_0_annotator448
6,"[0, 1, 1, 1, 0, 0]",6,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0]",31,0,1,0,4,4,5,8,10,115870.jpg,0,"[[32, 55, 590, 316]]",Others,0,640,426,annotator448,115870_Object 0_0,115870_Object 0_0_annotator448
9,"[0, 0, 1, 0, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",31,0,1,0,4,4,5,8,10,10130.jpg,0,"[[42, 9, 12, 30], [182, 153, 31, 16], [8, 218, 98, 181], [133, 217, 99, 181], [301, 216, 13, 29], [420, 41, 200, 160], [393, 341, 21, 16]]",Others,0,640,427,annotator448,10130_cellular_telephone_2-3-4-5-6-7-8,10130_cellular_telephone_2-3-4-5-6-7-8_annotator448
2,"[1, 0, 1, 0, 0, 0]",5,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",31,0,1,0,4,4,5,8,10,66368d8f0c538ba7.jpg,1,"[[175, 420, 46, 52], [388, 325, 100, 135], [666, 263, 47, 49]]",Person,0,1024,819,annotator448,66368d8f0c538ba7_Human head_0-1-2,66368d8f0c538ba7_Human head_0-1-2_annotator448
1,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",31,0,1,0,4,4,5,8,10,1b0366e125f4e3db.jpg,1,"[[80, 0, 366, 500]]",Person,0,1024,591,annotator448,1b0366e125f4e3db_Human hair_1,1b0366e125f4e3db_Human hair_1_annotator448
10,"[1, 1, 1, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,4,5,8,10,13815.jpg,0,"[[530, 241, 4, 3], [359, 254, 6, 3]]",Vehicle Plate,0,640,381,annotator448,13815_license_plate_0-1,13815_license_plate_0-1_annotator448
6,"[1, 0, 1, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",31,0,1,0,4,4,5,8,10,176359.jpg,0,"[[377, 37, 72, 48]]",Others,0,640,319,annotator448,176359_Object 0_0,176359_Object 0_0_annotator448
5,"[1, 0, 0, 0, 0, 0]",5,"[0, 0, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",31,0,1,0,4,4,5,8,10,118811.jpg,0,"[[80, 182, 140, 137]]",Others,0,425,640,annotator448,118811_Manual Label_0,118811_Manual Label_0_annotator448
