category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
8,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,0,1,0,5,5,8,8,7,03feb3e6845bc3aa.jpg,1,"[[228, 136, 435, 755]]",Person,0,768,1024,annotator189,03feb3e6845bc3aa_Man_2,03feb3e6845bc3aa_Man_2_annotator189
7,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,0,1,0,5,5,8,8,7,319305414bb65188.jpg,1,"[[268, 334, 85, 89], [428, 223, 74, 93]]",Person,0,1024,768,annotator189,319305414bb65188_Human nose_6-7,319305414bb65188_Human nose_6-7_annotator189
17,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,0,1,0,5,5,8,8,7,0747097f650f1273.jpg,1,"[[75, 158, 60, 35]]",Others,0,1024,682,annotator189,0747097f650f1273_identity_1,0747097f650f1273_identity_1_annotator189
10,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,0,1,0,5,5,8,8,7,4aa5d7328d424408.jpg,1,"[[548, 340, 140, 220]]",Others,0,1024,768,annotator189,4aa5d7328d424408_Person_0,4aa5d7328d424408_Person_0_annotator189
16,"[0, 0, 1, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,0,1,0,5,5,8,8,7,252576.jpg,0,"[[75, 132, 41, 25]]",Others,0,426,640,annotator189,252576_flag_0,252576_flag_0_annotator189
1,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,0,1,0,5,5,8,8,7,022caa5e84da4026.jpg,1,"[[353, 109, 43, 40]]",Others,0,1024,671,annotator189,022caa5e84da4026_Ball_33,022caa5e84da4026_Ball_33_annotator189
9,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,0,1,0,5,5,8,8,7,0747097f650f1273.jpg,1,"[[243, 498, 201, 132]]",Others,0,1024,682,annotator189,0747097f650f1273_Object 0_0,0747097f650f1273_Object 0_0_annotator189
18,"[0, 1, 0, 0, 0, 0]",2,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",42,0,1,0,5,5,8,8,7,145820.jpg,0,"[[569, 217, 16, 20], [326, 157, 13, 13], [511, 265, 14, 20], [397, 159, 9, 15], [530, 225, 17, 33], [310, 142, 10, 11]]",Printed Material,0,640,425,annotator189,145820_tag_0-1-2-3-4-5,145820_tag_0-1-2-3-4-5_annotator189
12,"[0, 0, 0, 0, 1, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,0,1,0,5,5,8,8,7,022caa5e84da4026.jpg,1,"[[76, 71, 88, 97], [161, 116, 115, 169], [161, 328, 88, 197], [163, 83, 59, 41], [250, 68, 59, 47], [315, 74, 59, 50], [317, 197, 91, 199], [360, 281, 110, 197], [387, 37, 53, 80], [471, 47, 68, 67], [537, 59, 82, 47], [576, 512, 91, 154], [591, 301, 113, 142], [613, 35, 88, 64], [693, 293, 127, 175], [753, 651, 95, 17]]",Others,0,1024,671,annotator189,022caa5e84da4026_Sports uniform_17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32,022caa5e84da4026_Sports uniform_17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32_annotator189
6,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",42,0,1,0,5,5,8,8,7,022caa5e84da4026.jpg,1,"[[20, 59, 29, 22], [100, 46, 29, 23], [178, 64, 23, 19], [182, 287, 38, 38], [220, 64, 29, 25], [311, 166, 35, 62], [336, 47, 16, 14], [393, 4, 28, 26], [419, 244, 28, 37], [491, 19, 26, 23], [552, 31, 26, 26], [595, 459, 35, 44], [645, 10, 28, 26], [664, 292, 26, 32], [723, 250, 35, 46], [779, 596, 40, 50]]",Person,0,1024,671,annotator189,022caa5e84da4026_Human hair_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,022caa5e84da4026_Human hair_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15_annotator189
