category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
1,"[0, 1, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,0,1,0,5,8,6,7,7,42cdf62be2cd206c.jpg,1,"[[636, 1, 387, 362]]",Others,0,1024,685,annotator337,42cdf62be2cd206c_Building_0,42cdf62be2cd206c_Building_0_annotator337
6,"[0, 1, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,0,1,0,5,8,6,7,7,263784cf4057af29.jpg,1,"[[260, 171, 408, 850], [707, 129, 316, 890]]",Person,0,1024,1024,annotator337,263784cf4057af29_Man_2-3,263784cf4057af29_Man_2-3_annotator337
7,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,0,1,0,5,8,6,7,7,0a3873442ad329c2.jpg,1,"[[663, 25, 130, 284]]",Others,0,1024,683,annotator337,0a3873442ad329c2_Object 0_3,0a3873442ad329c2_Object 0_3_annotator337
8,"[0, 0, 1, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",30,0,1,0,5,8,6,7,7,263784cf4057af29.jpg,1,"[[264, 303, 408, 720], [709, 262, 314, 761]]",Others,0,1024,1024,annotator337,263784cf4057af29_Suit_0-1,263784cf4057af29_Suit_0-1_annotator337
12,"[0, 0, 0, 0, 1, 0]",2,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",30,0,1,0,5,8,6,7,7,147223.jpg,0,"[[119, 171, 22, 8], [213, 257, 48, 17]]",Vehicle Plate,0,640,360,annotator337,147223_license_plate_0-1,147223_license_plate_0-1_annotator337
4,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,0,1,0,5,8,6,7,7,0a3873442ad329c2.jpg,1,"[[205, 126, 391, 528]]",Person,0,1024,683,annotator337,0a3873442ad329c2_Human body_0,0a3873442ad329c2_Human body_0_annotator337
2,"[0, 1, 0, 0, 0, 0]",2,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",30,0,1,0,5,8,6,7,7,5444099c2d172faa.jpg,1,"[[0, 295, 72, 151], [63, 162, 872, 377]]",Others,0,1024,576,annotator337,5444099c2d172faa_Car_0-1,5444099c2d172faa_Car_0-1_annotator337
13,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",30,0,1,0,5,8,6,7,7,147223.jpg,0,"[[0, 151, 146, 139], [36, 140, 119, 70], [595, 98, 44, 20]]",Others,0,640,360,annotator337,147223_minivan_2-3-4,147223_minivan_2-3-4_annotator337
9,"[1, 1, 0, 0, 0, 0]",3,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",30,0,1,0,5,8,6,7,7,5444099c2d172faa.jpg,1,"[[12, 74, 11, 33], [27, 63, 11, 36], [44, 56, 8, 31], [73, 0, 15, 44], [85, 86, 12, 34], [138, 48, 20, 41], [210, 0, 26, 51]]",Others,0,1024,576,annotator337,5444099c2d172faa_Window_2-3-4-5-6-7-8,5444099c2d172faa_Window_2-3-4-5-6-7-8_annotator337
6,"[0, 1, 1, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",30,0,1,0,5,8,6,7,7,0a3873442ad329c2.jpg,1,"[[208, 129, 395, 528]]",Person,0,1024,683,annotator337,0a3873442ad329c2_Man_2,0a3873442ad329c2_Man_2_annotator337
