age,gender,nationality,extraversion,agreeableness,conscientiousness,neuroticism,openness,ifPrivacy,frequency
34,Female,Japan,8,3,8,2,10,0,3
34,Female,Japan,8,3,8,2,10,0,3
34,Female,Japan,8,3,8,2,10,0,3
42,Male,Japan,4,6,4,5,7,0,0
42,Male,Japan,4,6,4,5,7,0,0
42,Male,Japan,4,6,4,5,7,0,0
20,Female,British,4,7,6,8,8,1,2
20,Female,British,4,7,6,8,8,1,2
20,Female,British,4,7,6,8,8,0,2
18,Male,British,8,6,3,7,6,0,3
18,Male,British,8,6,3,7,6,0,3
18,Male,British,8,6,3,7,6,0,3
33,Female,Japan,5,6,7,10,9,1,1
33,Female,Japan,5,6,7,10,9,1,1
42,Male,Japan,5,5,8,8,7,1,1
42,Male,Japan,5,5,8,8,7,1,1
22,Male,British,5,8,6,7,8,1,0
22,Male,British,5,8,6,7,8,1,0
27,Female,British,8,9,9,6,5,0,3
27,Female,British,8,9,9,6,5,0,3
37,Female,Japan,6,4,7,7,10,1,0
27,Female,Japan,9,7,6,3,9,1,3
21,Male,British,3,6,6,7,9,1,1
21,Male,British,3,6,6,7,9,1,1
21,Male,British,3,6,6,7,9,1,1
33,Female,British,5,7,9,7,9,1,1
58,Female,Japan,5,6,6,7,10,1,2
58,Female,Japan,5,6,6,7,10,0,2
27,Male,Japan,6,8,4,6,8,0,1
27,Male,Japan,6,8,4,6,8,0,1
29,Male,British,4,7,6,9,6,0,3
29,Male,British,4,7,6,9,6,0,3
32,Female,British,6,6,8,9,9,0,0
32,Female,British,6,6,8,9,9,0,0
40,Male,Japan,6,6,6,8,4,0,1
40,Male,Japan,6,6,6,8,4,1,1
40,Male,Japan,6,6,6,8,4,1,1
40,Male,Japan,6,6,6,8,4,1,1
40,Male,Japan,6,6,6,8,4,1,1
43,Male,Japan,5,6,5,9,6,0,2
43,Male,Japan,5,6,5,9,6,0,2
43,Male,Japan,5,6,5,9,6,0,2
43,Male,Japan,5,6,5,9,6,0,2
43,Male,Japan,5,6,5,9,6,0,2
39,Female,British,3,6,9,6,9,0,3
39,Female,British,3,6,9,6,9,0,3
39,Female,British,3,6,9,6,9,0,3
39,Female,British,3,6,9,6,9,0,3
39,Female,British,3,6,9,6,9,0,3
23,Male,British,8,6,4,6,6,0,1
23,Male,British,8,6,4,6,6,0,1
23,Male,British,8,6,4,6,6,0,1
23,Male,British,8,6,4,6,6,0,1
23,Male,British,8,6,4,6,6,0,1
41,Female,Japan,5,6,10,4,6,0,1
41,Female,Japan,5,6,10,4,6,0,1
41,Female,Japan,5,6,10,4,6,0,1
32,Male,Japan,6,6,5,7,6,0,3
32,Male,Japan,6,6,5,7,6,0,3
32,Male,Japan,6,6,5,7,6,0,3
73,Male,British,3,8,10,6,6,0,0
73,Male,British,3,8,10,6,6,0,0
73,Male,British,3,8,10,6,6,0,0
43,Female,British,8,4,8,7,10,0,1
43,Female,British,8,4,8,7,10,0,1
43,Female,British,8,4,8,7,10,1,1
39,Female,Japan,6,8,8,9,8,0,3
49,Other,Japan,4,6,7,5,10,0,0
38,Female,British,8,6,9,6,6,0,1
60,Female,British,6,6,9,6,5,0,2
47,Male,Japan,8,4,8,6,8,0,1
47,Male,Japan,8,4,8,6,8,0,1
47,Male,Japan,8,4,8,6,8,0,1
47,Male,Japan,8,4,8,6,8,0,1
47,Male,Japan,8,4,8,6,8,0,1
47,Male,Japan,8,4,8,6,8,0,1
47,Male,Japan,8,4,8,6,8,0,1
25,Female,Japan,4,6,9,7,4,0,2
25,Female,Japan,4,6,9,7,4,0,2
25,Female,Japan,4,6,9,7,4,1,2
25,Female,Japan,4,6,9,7,4,0,2
25,Female,Japan,4,6,9,7,4,0,2
25,Female,Japan,4,6,9,7,4,0,2
25,Female,Japan,4,6,9,7,4,0,2
50,Male,British,4,4,8,6,9,0,0
50,Male,British,4,4,8,6,9,0,0
50,Male,British,4,4,8,6,9,0,0
50,Male,British,4,4,8,6,9,0,0
50,Male,British,4,4,8,6,9,0,0
50,Male,British,4,4,8,6,9,0,0
50,Male,British,4,4,8,6,9,0,0
39,Male,British,4,6,8,5,9,0,2
39,Male,British,4,6,8,5,9,0,2
39,Male,British,4,6,8,5,9,0,2
39,Male,British,4,6,8,5,9,0,2
39,Male,British,4,6,8,5,9,0,2
39,Male,British,4,6,8,5,9,0,2
39,Male,British,4,6,8,5,9,0,2
39,Male,Japan,3,3,10,6,7,0,1
39,Male,Japan,3,3,10,6,7,0,1
39,Male,Japan,3,3,10,6,7,0,1
39,Male,Japan,3,3,10,6,7,1,1
25,Male,Japan,3,5,2,10,2,0,0
25,Male,Japan,3,5,2,10,2,1,0
25,Male,Japan,3,5,2,10,2,0,0
25,Male,Japan,3,5,2,10,2,1,0
39,Male,British,4,4,5,8,8,0,3
39,Male,British,4,4,5,8,8,0,3
39,Male,British,4,4,5,8,8,0,3
39,Male,British,4,4,5,8,8,0,3
47,Male,British,5,8,10,4,8,0,1
47,Male,British,5,8,10,4,8,0,1
47,Male,British,5,8,10,4,8,1,1
47,Male,British,5,8,10,4,8,1,1
49,Male,Japan,6,4,8,6,8,1,2
41,Female,Japan,4,6,6,8,9,1,2
30,Male,British,9,10,6,4,9,0,1
36,Male,British,6,3,8,7,9,0,0
53,Male,Japan,6,7,6,7,7,0,1
53,Male,Japan,6,7,6,7,7,0,1
53,Male,Japan,6,7,6,7,7,0,1
53,Male,Japan,6,7,6,7,7,1,1
43,Male,Japan,8,6,7,7,6,1,0
43,Male,Japan,8,6,7,7,6,1,0
43,Male,Japan,8,6,7,7,6,1,0
43,Male,Japan,8,6,7,7,6,1,0
19,Male,British,7,5,6,7,6,0,1
19,Male,British,7,5,6,7,6,0,1
19,Male,British,7,5,6,7,6,0,1
19,Male,British,7,5,6,7,6,0,1
65,Male,British,6,3,8,9,9,1,0
65,Male,British,6,3,8,9,9,1,0
65,Male,British,6,3,8,9,9,1,0
65,Male,British,6,3,8,9,9,0,0
31,Male,Japan,9,10,10,3,7,0,2
20,Female,Japan,7,7,5,5,9,1,4
25,Male,British,5,2,4,10,7,0,1
23,Female,British,5,8,7,7,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,1,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,British,7,7,8,5,6,0,3
33,Male,British,7,7,8,5,6,0,3
33,Male,British,7,7,8,5,6,0,3
33,Male,British,7,7,8,5,6,0,3
33,Male,British,7,7,8,5,6,0,3
33,Male,British,7,7,8,5,6,0,3
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
38,Male,Japan,6,6,6,7,6,1,0
39,Female,Japan,3,4,5,9,8,0,1
31,Male,British,4,4,5,8,10,1,1
30,Female,British,6,6,8,5,8,1,4
23,Male,Japan,6,8,5,6,6,1,2
23,Male,Japan,6,8,5,6,6,0,2
23,Male,Japan,6,8,5,6,6,0,2
23,Male,Japan,6,8,5,6,6,0,2
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
35,Female,Japan,7,6,6,8,7,1,1
35,Female,Japan,7,6,6,8,7,1,1
35,Female,Japan,7,6,6,8,7,1,1
35,Female,Japan,7,6,6,8,7,1,1
37,Female,Japan,2,5,4,10,8,1,1
37,Female,Japan,2,5,4,10,8,0,1
37,Female,Japan,2,5,4,10,8,0,1
37,Female,Japan,2,5,4,10,8,1,1
24,Female,British,6,8,6,8,7,0,1
24,Female,British,6,8,6,8,7,0,1
24,Female,British,6,8,6,8,7,0,1
24,Female,British,6,8,6,8,7,1,1
21,Male,British,9,6,5,4,9,0,1
21,Male,British,9,6,5,4,9,0,1
21,Male,British,9,6,5,4,9,0,1
21,Male,British,9,6,5,4,9,0,1
43,Male,Japan,8,6,7,7,6,0,0
43,Male,Japan,8,6,7,7,6,0,0
53,Male,Japan,6,7,6,7,7,0,1
53,Male,Japan,6,7,6,7,7,1,1
19,Male,British,7,5,6,7,6,0,1
19,Male,British,7,5,6,7,6,0,1
28,Male,Japan,4,5,6,8,6,1,0
28,Male,Japan,4,5,6,8,6,0,0
28,Male,Japan,4,5,6,8,6,0,0
28,Male,Japan,4,5,6,8,6,0,0
34,Other,Japan,4,5,8,5,5,0,0
34,Other,Japan,4,5,8,5,5,0,0
34,Other,Japan,4,5,8,5,5,0,0
34,Other,Japan,4,5,8,5,5,0,0
38,Female,British,3,7,9,8,7,0,1
38,Female,British,3,7,9,8,7,0,1
38,Female,British,3,7,9,8,7,0,1
38,Female,British,3,7,9,8,7,0,1
43,Female,British,5,6,8,4,8,0,1
43,Female,British,5,6,8,4,8,0,1
43,Female,British,5,6,8,4,8,0,1
43,Female,British,5,6,8,4,8,0,1
50,Male,Japan,8,3,6,7,7,0,0
50,Male,Japan,8,3,6,7,7,1,0
42,Female,Japan,5,7,6,8,5,1,0
42,Female,Japan,5,7,6,8,5,1,0
43,Female,British,4,6,6,7,7,0,1
43,Female,British,4,6,6,7,7,0,1
41,Female,British,8,9,9,5,8,0,0
41,Female,British,8,9,9,5,8,1,0
23,Female,Japan,5,8,5,10,10,1,2
27,Female,Japan,4,6,4,9,10,0,1
27,Female,Japan,4,6,4,9,10,1,1
