category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Boy,"[1, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,3e40cab2517ace8d.jpg,OpenImages,"[[297, 120, 380, 790]]",Person,Japan,768,1024,annotator145,3e40cab2517ace8d_Boy_2,3e40cab2517ace8d_Boy_2_annotator145
Cabinetry,"[0, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,06349831cbcb8f2c.jpg,OpenImages,"[[49, 0, 974, 768]]",Others,Japan,1024,768,annotator145,06349831cbcb8f2c_Cabinetry_0,06349831cbcb8f2c_Cabinetry_0_annotator145
Clothing,"[0, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,40d7e990368a8098.jpg,OpenImages,"[[0, 192, 739, 468]]",Clothing,Japan,1024,731,annotator145,40d7e990368a8098_Clothing_1,40d7e990368a8098_Clothing_1_annotator145
Dog,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,02ef01f6d6a665ac.jpg,OpenImages,"[[249, 1, 569, 761], [475, 456, 548, 312]]",Pet,Japan,1024,768,annotator145,02ef01f6d6a665ac_Dog_0-1,02ef01f6d6a665ac_Dog_0-1_annotator145
House,"[0, 1, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,efad8f80fa7a7c79.jpg,OpenImages,"[[0, 0, 1022, 766]]",Others,Japan,1024,768,annotator145,efad8f80fa7a7c79_House_0,efad8f80fa7a7c79_House_0_annotator145
Human body,"[1, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,3e40cab2517ace8d.jpg,OpenImages,"[[254, 86, 409, 780]]",Person,Japan,768,1024,annotator145,3e40cab2517ace8d_Human body_0,3e40cab2517ace8d_Human body_0_annotator145
Mammal,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,3e40cab2517ace8d.jpg,OpenImages,"[[299, 115, 384, 848]]",Others,Japan,768,1024,annotator145,3e40cab2517ace8d_Mammal_1,3e40cab2517ace8d_Mammal_1_annotator145
Man,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,3e40cab2517ace8d.jpg,OpenImages,"[[339, 121, 337, 902]]",Person,Japan,768,1024,annotator145,3e40cab2517ace8d_Man_3,3e40cab2517ace8d_Man_3_annotator145
Man,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,40d7e990368a8098.jpg,OpenImages,"[[0, 59, 739, 662]]",Person,Japan,1024,731,annotator145,40d7e990368a8098_Man_2,40d7e990368a8098_Man_2_annotator145
Manual Label,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,081f5a6bc61b9c48.jpg,OpenImages,"[[233, 145, 707, 479]]",Others,Japan,1024,768,annotator145,081f5a6bc61b9c48_Manual Label_0,081f5a6bc61b9c48_Manual Label_0_annotator145
Musical instrument,"[1, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,3e40cab2517ace8d.jpg,OpenImages,"[[0, 308, 768, 715]]",Musical instrument,Japan,768,1024,annotator145,3e40cab2517ace8d_Musical instrument_5,3e40cab2517ace8d_Musical instrument_5_annotator145
Person,"[1, 0, 1, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",41,Female,1,CrowdWorks,5,5,6,8,7,40d7e990368a8098.jpg,OpenImages,"[[0, 45, 1024, 685]]",Others,Japan,1024,731,annotator145,40d7e990368a8098_Person_0,40d7e990368a8098_Person_0_annotator145
