category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
8,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,00a42a80e5e8d194.jpg,1,"[[442, 135, 225, 222]]",Person,0,683,1024,annotator30,00a42a80e5e8d194_Human face_0,00a42a80e5e8d194_Human face_0_annotator30
15,"[0, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,976ca910c239e2fc.jpg,1,"[[0, 0, 898, 1024]]",Others,0,898,1024,annotator30,976ca910c239e2fc_Shelf_6,976ca910c239e2fc_Shelf_6_annotator30
20,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,133034.jpg,0,"[[51, 138, 162, 128], [181, 266, 311, 159]]",Others,0,640,426,annotator30,133034_cellular_telephone_7-8,133034_cellular_telephone_7-8_annotator30
12,"[0, 0, 1, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,049e7e84b7055f7f.jpg,1,"[[184, 1, 720, 230]]",Others,0,1024,768,annotator30,049e7e84b7055f7f_Manual Label_0,049e7e84b7055f7f_Manual Label_0_annotator30
2,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,976ca910c239e2fc.jpg,1,"[[102, 765, 527, 258]]",Clothing,0,898,1024,annotator30,976ca910c239e2fc_Clothing_4,976ca910c239e2fc_Clothing_4_annotator30
21,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,159250.jpg,0,"[[180, 74, 7, 3], [285, 90, 12, 4]]",Vehicle Plate,0,500,236,annotator30,159250_license_plate_0-1,159250_license_plate_0-1_annotator30
25,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,159250.jpg,0,"[[449, 54, 10, 11], [60, 63, 12, 11], [269, 51, 11, 5], [403, 52, 18, 14], [320, 52, 7, 5], [11, 63, 15, 9], [102, 54, 18, 17], [102, 40, 15, 15], [250, 0, 75, 36], [479, 53, 7, 9], [226, 44, 28, 19], [62, 66, 16, 11], [280, 33, 18, 7], [271, 54, 10, 10], [494, 41, 4, 17], [362, 46, 15, 11], [461, 50, 14, 10], [237, 52, 20, 20], [251, 65, 9, 4], [56, 62, 11, 21], [385, 50, 13, 16], [69, 78, 6, 2], [434, 52, 10, 3]]",Others,0,500,236,annotator30,159250_street_sign_18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40,159250_street_sign_18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40_annotator30
11,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,976ca910c239e2fc.jpg,1,"[[98, 564, 671, 459]]",Person,0,898,1024,annotator30,976ca910c239e2fc_Man_25,976ca910c239e2fc_Man_25_annotator30
7,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,00a42a80e5e8d194.jpg,1,"[[477, 169, 49, 33], [578, 208, 66, 40]]",Person,0,683,1024,annotator30,00a42a80e5e8d194_Human eye_7-8,00a42a80e5e8d194_Human eye_7-8_annotator30
27,"[0, 1, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,168905.jpg,0,"[[208, 301, 13, 18]]",Others,0,640,480,annotator30,168905_weathervane_5,168905_weathervane_5_annotator30
24,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,109992.jpg,0,"[[3, 310, 96, 11]]",Others,0,640,426,annotator30,109992_snowboard_1,109992_snowboard_1_annotator30
19,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,133034.jpg,0,"[[190, 60, 78, 22], [582, 195, 57, 86], [1, 206, 151, 203], [384, 81, 114, 36], [517, 95, 120, 33], [159, 3, 146, 63]]",Book,0,640,426,annotator30,133034_book_0-1-2-3-4-5,133034_book_0-1-2-3-4-5_annotator30
11,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,768b822518ac6b19.jpg,1,"[[239, 70, 403, 503]]",Person,0,1024,576,annotator30,768b822518ac6b19_Man_1,768b822518ac6b19_Man_1_annotator30
6,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,768b822518ac6b19.jpg,1,"[[239, 74, 397, 499]]",Person,0,1024,576,annotator30,768b822518ac6b19_Human body_2,768b822518ac6b19_Human body_2_annotator30
10,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,00a42a80e5e8d194.jpg,1,"[[421, 0, 261, 359]]",Person,0,683,1024,annotator30,00a42a80e5e8d194_Human head_6,00a42a80e5e8d194_Human head_6_annotator30
23,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,159250.jpg,0,"[[462, 50, 13, 9], [62, 66, 16, 12], [56, 62, 10, 22], [237, 52, 20, 25], [227, 44, 27, 16], [403, 51, 18, 14], [480, 53, 6, 9], [494, 41, 4, 17], [251, 0, 74, 55], [449, 54, 10, 10], [384, 49, 16, 11], [320, 52, 8, 5], [60, 63, 12, 12], [362, 46, 13, 11], [102, 40, 18, 38], [235, 60, 12, 12]]",Place Identifier,0,500,236,annotator30,159250_signboard_41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56,159250_signboard_41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56_annotator30
4,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,0,1,0,4,6,6,9,9,00a42a80e5e8d194.jpg,1,"[[0, 0, 683, 1024]]",Person,0,683,1024,annotator30,00a42a80e5e8d194_Girl_2,00a42a80e5e8d194_Girl_2_annotator30
