category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
1,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,013e4b54ccdf22aa.jpg,1,"[[0, 0, 1022, 766]]",Others,0,1024,768,annotator117,013e4b54ccdf22aa_Building_37,013e4b54ccdf22aa_Building_37_annotator117
17,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,013e4b54ccdf22aa.jpg,1,"[[0, 131, 302, 636]]",Person,0,1024,768,annotator117,013e4b54ccdf22aa_Woman_34,013e4b54ccdf22aa_Woman_34_annotator117
20,"[1, 0, 0, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,0f87ab3c101f4da4.jpg,1,"[[5, 0, 635, 480]]",Others,0,640,480,annotator117,0f87ab3c101f4da4_identity_0,0f87ab3c101f4da4_identity_0_annotator117
11,"[1, 1, 0, 1, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,013e4b54ccdf22aa.jpg,1,"[[123, 111, 49, 70], [265, 187, 659, 579], [323, 262, 64, 81], [323, 339, 51, 40], [324, 395, 72, 78], [337, 467, 43, 43], [347, 604, 49, 51], [352, 729, 40, 36], [401, 270, 73, 92], [409, 358, 49, 43], [409, 409, 73, 97], [416, 491, 46, 48], [425, 638, 43, 52], [492, 284, 89, 97], [502, 364, 60, 62], [502, 428, 86, 103], [508, 523, 57, 55], [512, 681, 56, 59], [600, 435, 105, 121], [604, 288, 107, 113], [606, 519, 100, 100], [617, 387, 68, 60], [617, 579, 68, 62], [617, 726, 49, 40], [720, 0, 59, 113], [724, 302, 134, 131], [726, 468, 129, 131], [739, 598, 83, 54], [892, 433, 22, 62], [908, 464, 20, 36]]",Others,0,1024,768,annotator117,013e4b54ccdf22aa_Poster_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,013e4b54ccdf22aa_Poster_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29_annotator117
10,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,00cdf56c63191fd3.jpg,1,"[[151, 671, 783, 124]]",Others,0,1024,871,annotator117,00cdf56c63191fd3_Person_8,00cdf56c63191fd3_Person_8_annotator117
22,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,106166.jpg,0,"[[158, 239, 43, 21]]",Vehicle Plate,0,500,375,annotator117,106166_license_plate_1,106166_license_plate_1_annotator117
23,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,132888.jpg,2,"[[559, 257, 37, 4]]",Others,0,640,427,annotator117,132888_necklace_5,132888_necklace_5_annotator117
22,"[1, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,104621.jpg,0,"[[330, 178, 26, 13], [193, 174, 24, 13], [453, 117, 12, 6], [398, 106, 6, 4]]",Vehicle Plate,0,640,480,annotator117,104621_license_plate_2-3-4-5,104621_license_plate_2-3-4-5_annotator117
4,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,00cdf56c63191fd3.jpg,1,"[[42, 30, 425, 784], [557, 470, 419, 346]]",Person,0,1024,871,annotator117,00cdf56c63191fd3_Girl_6-7,00cdf56c63191fd3_Girl_6-7_annotator117
12,"[0, 1, 0, 1, 0, 0]",5,"[0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",45,0,2,0,4,4,5,10,10,d9771d6601a26947.jpg,1,"[[10, 129, 363, 345], [564, 0, 285, 481], [833, 220, 190, 365], [913, 78, 110, 57]]",Scenery,0,1024,681,annotator117,d9771d6601a26947_Skyscraper_0-1-2-3,d9771d6601a26947_Skyscraper_0-1-2-3_annotator117
