category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
8,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,1e07b2d0cdc10135.jpg,1,"[[0, 265, 98, 240], [0, 755, 66, 163], [197, 335, 291, 688]]",Others,0,683,1024,annotator202,1e07b2d0cdc10135_Person_0-1-2,1e07b2d0cdc10135_Person_0-1-2_annotator202
7,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,862c5b6b0a8b2437.jpg,1,"[[0, 141, 681, 880]]",Person,0,683,1024,annotator202,862c5b6b0a8b2437_Man_1,862c5b6b0a8b2437_Man_1_annotator202
19,"[0, 0, 1, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,169365.jpg,0,"[[49, 80, 57, 173], [55, 35, 43, 163]]",Others,0,640,480,annotator202,169365_toothbrush_0-1,169365_toothbrush_0-1_annotator202
11,"[0, 0, 0, 1, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,144280.jpg,0,"[[116, 292, 66, 15], [112, 311, 72, 22], [150, 275, 39, 9], [182, 305, 22, 6], [145, 279, 49, 7], [132, 288, 48, 12], [229, 288, 25, 7], [111, 305, 72, 24], [184, 295, 7, 3], [539, 314, 37, 22], [204, 298, 24, 8], [111, 297, 71, 17], [182, 298, 34, 7]]",Book,0,640,427,annotator202,144280_book_2-3-4-5-6-7-8-9-10-11-12-13-14,144280_book_2-3-4-5-6-7-8-9-10-11-12-13-14_annotator202
17,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,144280.jpg,0,"[[4, 0, 252, 229]]",Others,0,640,427,annotator202,144280_painting_0,144280_painting_0_annotator202
1,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,862c5b6b0a8b2437.jpg,1,"[[0, 297, 683, 726]]",Clothing,0,683,1024,annotator202,862c5b6b0a8b2437_Clothing_2,862c5b6b0a8b2437_Clothing_2_annotator202
10,"[0, 0, 0, 1, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,676b3350d3fb8061.jpg,1,"[[357, 1, 437, 368]]",Machine,0,1024,683,annotator202,676b3350d3fb8061_Sewing machine_1,676b3350d3fb8061_Sewing machine_1_annotator202
20,"[0, 0, 0, 1, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,21465.jpg,0,"[[199, 8, 41, 112]]",Others,0,500,281,annotator202,21465_vase_14,21465_vase_14_annotator202
13,"[0, 0, 0, 1, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,113021.jpg,0,"[[224, 492, 230, 53]]",Others,0,480,640,annotator202,113021_computer_keyboard_3,113021_computer_keyboard_3_annotator202
5,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",50,0,0,0,6,5,7,7,8,862c5b6b0a8b2437.jpg,1,"[[252, 152, 166, 235]]",Person,0,683,1024,annotator202,862c5b6b0a8b2437_Human face_0,862c5b6b0a8b2437_Human face_0_annotator202
