category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height
license_plate,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",20,Female,2,Prolific,4,7,6,8,8,175121.jpg,LVIS,"[[389, 325, 7, 4]]",Vehicle Plate,UK,612.0,612.0
bus_(vehicle),"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",20,Female,2,Prolific,4,7,6,8,8,175121.jpg,LVIS,"[[380, 276, 90, 69]]",Others,UK,612.0,612.0
Clothing,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,03feb3e6845bc3aa.jpg,OpenImages,"[[0, 513, 212, 510], [223, 225, 444, 619]]",Clothing,Japan,768.0,1024.0
Man,"[1, 1, 0, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,1,CrowdWorks,5,6,7,10,9,03feb3e6845bc3aa.jpg,OpenImages,"[[228, 136, 435, 755]]",Person,Japan,768.0,1024.0
Clothing,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,Male,1,CrowdWorks,5,5,8,8,7,03feb3e6845bc3aa.jpg,OpenImages,"[[0, 513, 212, 510], [223, 225, 444, 619]]",Clothing,Japan,768.0,1024.0
Man,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,Male,1,CrowdWorks,5,5,8,8,7,03feb3e6845bc3aa.jpg,OpenImages,"[[228, 136, 435, 755]]",Person,Japan,768.0,1024.0
Clothing,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",22,Male,0,Prolific,5,8,6,7,8,03feb3e6845bc3aa.jpg,OpenImages,"[[0, 513, 212, 510], [223, 225, 444, 619]]",Clothing,UK,768.0,1024.0
Man,"[1, 1, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",22,Male,0,Prolific,5,8,6,7,8,03feb3e6845bc3aa.jpg,OpenImages,"[[228, 136, 435, 755]]",Person,UK,768.0,1024.0
sofa,"[1, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",37,Female,0,CrowdWorks,6,4,7,7,10,173825.jpg,LVIS,"[[0, 226, 505, 234], [78, 190, 202, 79]]",Home interior,Japan,640.0,480.0
sofa,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",27,Female,3,CrowdWorks,9,7,6,3,9,173825.jpg,LVIS,"[[0, 226, 505, 234], [78, 190, 202, 79]]",Home interior,Japan,640.0,480.0
sofa,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,1,Prolific,5,7,9,7,9,173825.jpg,LVIS,"[[0, 226, 505, 234], [78, 190, 202, 79]]",Home interior,UK,640.0,480.0
