category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height,AnnotatorId,ObjectId,ObjectAnnotatorId
Building,"[0, 1, 0, 0, 0, 0]",1,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,38d60954765f7b4f.jpg,OpenImages,"[[647, 0, 376, 321]]",Others,Japan,1024,683,annotator107,38d60954765f7b4f_Building_3,38d60954765f7b4f_Building_3_annotator107
Building,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,2aa0e3d8a77149b7.jpg,OpenImages,"[[0, 0, 1024, 683]]",Others,Japan,1024,683,annotator107,2aa0e3d8a77149b7_Building_0,2aa0e3d8a77149b7_Building_0_annotator107
Building,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,006f87bf928f9ba3.jpg,OpenImages,"[[0, 0, 1022, 679]]",Others,Japan,1024,683,annotator107,006f87bf928f9ba3_Building_18,006f87bf928f9ba3_Building_18_annotator107
Building,"[1, 1, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,1a00561698778497.jpg,OpenImages,"[[0, 0, 1024, 683]]",Others,Japan,1024,683,annotator107,1a00561698778497_Building_0,1a00561698778497_Building_0_annotator107
Car,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,02a6ef3d9bd68e91.jpg,OpenImages,"[[57, 57, 836, 326], [848, 19, 176, 204]]",Others,Japan,1024,768,annotator107,02a6ef3d9bd68e91_Car_0-1,02a6ef3d9bd68e91_Car_0-1_annotator107
Computer monitor,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,2499021935fff88f.jpg,OpenImages,"[[12, 0, 960, 768]]",Screen,Japan,1024,768,annotator107,2499021935fff88f_Computer monitor_2,2499021935fff88f_Computer monitor_2_annotator107
Girl,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,006f87bf928f9ba3.jpg,OpenImages,"[[0, 151, 403, 531], [305, 220, 442, 462]]",Person,Japan,1024,683,annotator107,006f87bf928f9ba3_Girl_3-4,006f87bf928f9ba3_Girl_3-4_annotator107
Glasses,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,1b8d52cb603f71ad.jpg,OpenImages,"[[510, 57, 163, 66]]",Accessory,Japan,1024,687,annotator107,1b8d52cb603f71ad_Glasses_6,1b8d52cb603f71ad_Glasses_6_annotator107
Human body,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,1b8d52cb603f71ad.jpg,OpenImages,"[[0, 60, 515, 624], [399, 0, 552, 685]]",Person,Japan,1024,687,annotator107,1b8d52cb603f71ad_Human body_9-10,1b8d52cb603f71ad_Human body_9-10_annotator107
Human eye,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,2,CrowdWorks,6,4,4,6,8,006f87bf928f9ba3.jpg,OpenImages,"[[214, 284, 40, 25], [282, 288, 42, 24], [457, 338, 43, 25], [527, 343, 33, 19], [715, 219, 36, 19], [776, 203, 36, 31]]",Person,Japan,1024,683,annotator107,006f87bf928f9ba3_Human eye_6-7-8-9-10-11,006f87bf928f9ba3_Human eye_6-7-8-9-10-11_annotator107
