2024-04-27 12:22:23,844 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Configure stats pid to 1176052
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Loading settings from /home/x_souba/.config/wandb/settings
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Loading settings from /proj/sourasb-220503/Fed-DIPA2/wandb/settings
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/proj/sourasb-220503/Fed-DIPA2/main.py', 'program': '/proj/sourasb-220503/Fed-DIPA2/main.py'}
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_init.py:_log_setup():526] Logging user logs to /proj/sourasb-220503/Fed-DIPA2/wandb/run-20240427_122223-1io1b5s3/logs/debug.log
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_init.py:_log_setup():527] Logging internal logs to /proj/sourasb-220503/Fed-DIPA2/wandb/run-20240427_122223-1io1b5s3/logs/debug-internal.log
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_init.py:init():566] calling init triggers
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_init.py:init():616] starting backend
2024-04-27 12:22:23,845 INFO    MainThread:1176052 [wandb_init.py:init():620] setting up manager
2024-04-27 12:22:23,846 INFO    MainThread:1176052 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-27 12:22:23,848 INFO    MainThread:1176052 [wandb_init.py:init():628] backend started and connected
2024-04-27 12:22:23,850 INFO    MainThread:1176052 [wandb_init.py:init():720] updated telemetry
2024-04-27 12:22:23,863 INFO    MainThread:1176052 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-04-27 12:22:27,626 INFO    MainThread:1176052 [wandb_run.py:_on_init():2262] communicating current version
2024-04-27 12:22:27,664 INFO    MainThread:1176052 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-27 12:22:27,664 INFO    MainThread:1176052 [wandb_init.py:init():804] starting run threads in backend
2024-04-27 12:22:35,676 INFO    MainThread:1176052 [wandb_run.py:_console_start():2241] atexit reg
2024-04-27 12:22:35,676 INFO    MainThread:1176052 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-04-27 12:22:35,677 INFO    MainThread:1176052 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-04-27 12:22:35,677 INFO    MainThread:1176052 [wandb_run.py:_redirect():2186] Redirects installed.
2024-04-27 12:22:35,678 INFO    MainThread:1176052 [wandb_init.py:init():847] run started, returning control to user process
2024-04-27 12:25:29,125 INFO    MainThread:1176052 [wandb_run.py:_finish():1970] finishing run sourasb/DIPA2/1io1b5s3
2024-04-27 12:25:29,125 INFO    MainThread:1176052 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-04-27 12:25:29,126 INFO    MainThread:1176052 [wandb_run.py:_restore():2193] restore
2024-04-27 12:25:29,126 INFO    MainThread:1176052 [wandb_run.py:_restore():2199] restore done
2024-04-27 12:25:38,230 INFO    MainThread:1176052 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-04-27 12:25:38,231 INFO    MainThread:1176052 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-04-27 12:25:38,238 INFO    MainThread:1176052 [wandb_run.py:_footer_sync_info():3825] logging synced files
